City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bredasdorp,ZA,2021-06-28 20:41:42,-34.5322,20.0403,49.32,81,100,6.91
68,Port Alfred,ZA,2021-06-28 20:41:42,-33.5906,26.891,57.9,82,45,13.56
69,Lincoln,US,2021-06-28 20:39:29,40.8,-96.667,87.3,54,1,4.0
70,Arraial Do Cabo,BR,2021-06-28 20:41:43,-22.9661,-42.0278,75.16,73,0,4.61
71,Nyurba,RU,2021-06-28 20:41:43,63.2842,118.3319,61.05,81,100,1.9
72,Khudumelapye,BW,2021-06-28 20:41:43,-23.8833,24.75,58.3,29,3,6.82
73,Saint-Philippe,RE,2021-06-28 20:41:44,-21.3585,55.7679,69.39,81,39,12.12
74,Jining,CN,2021-06-28 20:41:44,35.405,116.5814,80.01,1,94,7.76
75,Marawi,PH,2021-06-28 20:41:44,7.9986,124.2928,68.65,95,25,2.19
76,Albany,US,2021-06-28 20:37:25,42.6001,-73.9662,95.04,55,99,1.01
77,Punta Arenas,CL,2021-06-28 20:41:45,-53.15,-70.9167,44.71,76,0,9.22
78,Mahajanga,MG,2021-06-28 20:41:45,-15.7167,46.3167,69.82,88,20,1.14
79,Adwa,ET,2021-06-28 20:41:45,14.1646,38.8955,73.87,34,39,0.16
80,Asau,RO,2021-06-28 20:41:46,46.4333,26.4,65.32,93,10,4.03
81,New Norfolk,AU,2021-06-28 20:41:46,-42.7826,147.0587,39.9,89,6,2.84
82,Killybegs,IE,2021-06-28 20:41:46,54.6333,-8.45,56.91,89,12,6.6
83,Inhambane,MZ,2021-06-28 20:41:46,-23.865,35.3833,68.77,89,0,11.95
84,Manakara,MG,2021-06-28 20:41:47,-22.1333,48.0167,63.54,91,7,4.07
85,Saint-Francois,FR,2021-06-28 20:41:47,46.4154,3.9054,63.84,96,0,3.44
86,Oriximina,BR,2021-06-28 20:41:47,-1.7656,-55.8661,85.55,59,17,6.11
87,Asfi,MA,2021-06-28 20:41:48,32.2994,-9.2372,66.88,73,0,21.14
88,Mildura,AU,2021-06-28 20:41:48,-34.2,142.15,41.07,100,1,4.61
89,Along,IN,2021-06-28 20:41:49,28.1667,94.7667,74.53,100,100,0.76
90,Bambous Virieux,MU,2021-06-28 20:41:49,-20.3428,57.7575,71.85,78,20,10.36
91,Chegem,RU,2021-06-28 20:41:49,43.2833,43.1333,48.33,76,65,6.76
92,Taoudenni,ML,2021-06-28 20:41:50,22.6783,-3.9836,107.37,7,1,6.87
93,Soubre,CI,2021-06-28 20:41:50,5.7856,-6.6083,73.09,97,96,3.98
94,Fort Nelson,CA,2021-06-28 20:41:50,58.8053,-122.7002,83.79,37,20,2.3
95,Altay,CN,2021-06-28 20:41:51,47.8667,88.1167,53.78,50,48,3.78
96,Aquiraz,BR,2021-06-28 20:41:51,-3.9014,-38.3911,82.49,74,11,7.23
97,Takaka,NZ,2021-06-28 20:41:51,-40.85,172.8,36.97,74,7,5.91
98,Koumac,NC,2021-06-28 20:41:52,-20.5667,164.2833,72.5,81,10,9.19
99,Vaini,TO,2021-06-28 20:41:52,-21.2,-175.2,75.36,78,20,10.36
100,Aksarka,RU,2021-06-28 20:41:52,66.5606,67.7975,42.28,71,9,1.63
101,Sanjwal,PK,2021-06-28 20:41:53,33.7608,72.4336,88.95,23,0,3.51
102,Kocevje,SI,2021-06-28 20:41:53,45.6433,14.8633,72.52,64,4,3.94
103,Pathein,MM,2021-06-28 20:40:01,16.7833,94.7333,78.75,90,100,5.06
104,Palestina,PS,2021-06-28 20:41:53,31.9216,35.2033,74.93,48,0,4.68
105,Mongoumba,CF,2021-06-28 20:41:54,3.6415,18.5936,71.91,86,100,2.35
106,Muros,ES,2021-06-28 20:41:54,42.7762,-9.0603,61.23,82,28,7.96
107,Rosita,NI,2021-06-28 20:41:54,13.9268,-84.4032,80.83,90,92,4.92
108,Aripuana,BR,2021-06-28 20:41:55,-9.1667,-60.6333,79.7,67,91,0.98
109,Horsham,GB,2021-06-28 20:41:55,51.064,-0.3272,64.71,91,40,5.75
110,Vagur,FO,2021-06-28 20:41:55,61.4732,-6.8119,49.23,90,74,9.86
111,Mutis,CO,2021-06-28 20:41:56,6.2262,-77.4044,80.85,77,44,4.43
112,Port Keats,AU,2021-06-28 20:41:56,-14.25,129.55,64.87,53,11,8.3
113,Honningsvag,NO,2021-06-28 20:41:56,70.9821,25.9704,47.73,82,94,21.65
114,Talnakh,RU,2021-06-28 20:41:57,69.4865,88.3972,48.07,89,100,5.5
115,Lebu,CL,2021-06-28 20:41:57,-37.6167,-73.65,49.68,57,11,1.83
116,North Battleford,CA,2021-06-28 20:39:14,52.7834,-108.2847,84.29,37,1,11.5
117,Tuatapere,NZ,2021-06-28 20:41:58,-46.1333,167.6833,41.83,70,67,9.46
118,Cockburn Town,TC,2021-06-28 20:40:43,21.4612,-71.1419,84.16,65,40,16.11
119,Kenscoff,HT,2021-06-28 20:41:58,18.4506,-72.2869,78.94,38,40,12.66
120,Tupiza,BO,2021-06-28 20:41:58,-21.45,-65.7167,56.52,6,1,21.23
121,Tual,ID,2021-06-28 20:41:59,-5.6667,132.75,80.55,81,56,18.75
122,Yar-Sale,RU,2021-06-28 20:41:59,66.8333,70.8333,42.4,74,31,6.93
123,Thompson,CA,2021-06-28 20:39:36,55.7435,-97.8558,78.96,38,75,9.22
124,Yambio,SS,2021-06-28 20:41:59,4.5721,28.3955,68.0,97,93,6.13
125,Cabo San Lucas,MX,2021-06-28 20:42:00,22.8909,-109.9124,98.51,45,20,12.66
126,Itarema,BR,2021-06-28 20:42:00,-2.9248,-39.9167,78.19,76,8,8.32
127,Necochea,AR,2021-06-28 20:42:00,-38.5473,-58.7368,48.04,73,100,23.26
128,Port Hardy,CA,2021-06-28 20:42:01,50.6996,-127.4199,80.78,54,1,4.61
129,Souillac,MU,2021-06-28 20:42:01,-20.5167,57.5167,71.98,78,20,10.36
130,Ambilobe,MG,2021-06-28 20:42:01,-13.2,49.05,68.41,83,17,3.56
131,Lazaro Cardenas,MX,2021-06-28 20:37:26,17.9583,-102.2,80.38,81,99,10.8
132,Kodiak,US,2021-06-28 20:42:02,57.79,-152.4072,53.11,82,90,4.61
133,San Pedro,PH,2021-06-28 20:41:15,14.35,121.0167,78.35,91,20,3.44
134,Zarasai,LT,2021-06-28 20:42:02,55.7333,26.25,58.01,97,0,5.12
135,Avarua,CK,2021-06-28 20:42:03,-21.2078,-159.775,75.25,60,75,11.5
136,Tsumeb,NA,2021-06-28 20:42:03,-19.2333,17.7167,60.35,27,6,3.85
137,Doliana,GR,2021-06-28 20:42:03,39.9032,20.5794,74.16,40,0,3.6
138,Katobu,ID,2021-06-28 20:42:04,-4.9408,122.5276,72.9,97,98,4.23
139,Qianan,CN,2021-06-28 20:42:04,44.9932,124.0581,68.85,80,4,3.94
140,Lorengau,PG,2021-06-28 20:42:04,-2.0226,147.2712,81.72,78,90,5.75
141,Kieta,PG,2021-06-28 20:42:05,-6.2167,155.6333,79.48,83,95,8.57
142,Quatre Cocos,MU,2021-06-28 20:42:05,-20.2078,57.7625,71.71,76,3,12.84
143,Nanortalik,GL,2021-06-28 20:42:05,60.1432,-45.2371,40.86,98,100,4.76
144,Iqaluit,CA,2021-06-28 20:41:16,63.7506,-68.5145,42.53,93,75,8.01
145,Gat,IL,2021-06-28 20:42:06,31.61,34.7642,83.39,64,0,2.48
