City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
51,Muros,ES,2021-06-30 19:37:27,42.7762,-9.0603,72.68,68,8,6.51,clear sky,0.0,0.0
52,Sao Filipe,CV,2021-06-30 19:37:27,14.8961,-24.4956,73.71,77,16,6.91,few clouds,0.0,0.0
53,Hithadhoo,MV,2021-06-30 19:37:27,-0.6,73.0833,82.81,74,58,11.18,moderate rain,0.0,0.0
54,Atuona,PF,2021-06-30 19:33:11,-9.8,-139.0333,78.62,78,100,23.73,overcast clouds,0.0,0.0
55,Kapaa,US,2021-06-30 19:37:28,22.0752,-159.319,84.52,75,40,1.99,light rain,0.0,0.0
56,Bataipora,BR,2021-06-30 19:37:28,-22.2953,-53.2711,59.85,41,0,4.16,clear sky,0.0,0.0
57,Saldanha,ZA,2021-06-30 19:37:28,-33.0117,17.9442,57.25,89,100,29.1,light rain,0.0,0.0
58,Leh,IN,2021-06-30 19:37:29,34.1667,77.5833,58.87,31,0,5.82,clear sky,0.0,0.0
59,Akdepe,TM,2021-06-30 19:37:29,42.0551,59.3788,93.2,25,84,9.13,broken clouds,0.0,0.0
60,Cayenne,GF,2021-06-30 19:37:29,4.9333,-52.3333,81.09,83,90,1.99,overcast clouds,0.0,0.0
61,Paka,MY,2021-06-30 19:37:30,4.6374,103.4368,75.13,94,100,0.0,overcast clouds,0.0,0.0
62,Thompson,CA,2021-06-30 19:37:30,55.7435,-97.8558,77.16,41,20,5.75,few clouds,0.0,0.0
63,North Bend,US,2021-06-30 19:37:30,43.4065,-124.2243,65.16,82,90,9.22,overcast clouds,0.0,0.0
64,Constitucion,CL,2021-06-30 19:37:30,-35.3333,-72.4167,55.53,66,92,5.48,overcast clouds,0.0,0.0
65,Lebu,CL,2021-06-30 19:37:31,-37.6167,-73.65,52.88,88,97,9.6,overcast clouds,0.0,0.0
66,Carnarvon,AU,2021-06-30 19:37:31,-24.8667,113.6333,51.87,60,0,9.22,clear sky,0.0,0.0
67,Luderitz,NA,2021-06-30 19:37:31,-26.6481,15.1594,57.69,74,0,2.06,clear sky,0.0,0.0
68,Husavik,IS,2021-06-30 19:37:32,66.0449,-17.3389,66.11,69,1,2.08,clear sky,0.0,0.0
69,Mackay,AU,2021-06-30 19:37:32,-21.15,149.2,68.68,88,90,6.91,overcast clouds,0.0,0.0
70,Bengkulu,ID,2021-06-30 19:37:32,-3.8004,102.2655,77.22,82,100,4.68,overcast clouds,0.0,0.0
71,Sao Jose Dos Pinhais,BR,2021-06-30 19:37:33,-25.5347,-49.2064,55.74,52,0,4.61,clear sky,0.0,0.0
72,Periyapatti,IN,2021-06-30 19:37:33,10.75,77.2667,78.01,82,100,16.73,overcast clouds,0.0,0.0
73,Castro,BR,2021-06-30 19:37:33,-24.7911,-50.0119,49.12,66,0,2.91,clear sky,0.0,0.0
74,Antsohihy,MG,2021-06-30 19:37:34,-14.8796,47.9875,70.65,66,68,8.52,broken clouds,0.0,0.0
75,Ocos,GT,2021-06-30 19:37:34,14.5094,-92.1933,91.9,71,84,4.27,broken clouds,0.0,0.0
76,Dikson,RU,2021-06-30 19:37:34,73.5069,80.5464,32.97,89,8,2.26,clear sky,0.0,0.0
77,Hansi,IN,2021-06-30 19:37:35,29.1,75.9667,99.01,18,11,8.66,few clouds,0.0,0.0
78,Ahipara,NZ,2021-06-30 19:37:35,-35.1667,173.1667,48.24,84,9,5.82,clear sky,0.0,0.0
79,Esperance,AU,2021-06-30 19:37:35,-33.8667,121.9,49.84,70,31,17.94,scattered clouds,0.0,0.0
80,Jamestown,US,2021-06-30 19:37:26,42.097,-79.2353,78.39,94,90,5.01,overcast clouds,0.0,0.0
81,Salalah,OM,2021-06-30 19:37:36,17.0151,54.0924,82.49,78,75,4.61,broken clouds,0.0,0.0
82,Hermanus,ZA,2021-06-30 19:37:36,-34.4187,19.2345,59.81,79,96,30.0,moderate rain,0.0,0.0
83,Avarua,CK,2021-06-30 19:37:36,-21.2078,-159.775,78.85,83,40,10.36,scattered clouds,0.0,0.0
84,Tiksi,RU,2021-06-30 19:37:37,71.6872,128.8694,36.95,84,88,2.48,overcast clouds,0.0,0.0
85,Pyapon,MM,2021-06-30 19:37:37,16.2833,95.6833,79.09,88,96,4.65,overcast clouds,0.0,0.0
86,Gubkinskiy,RU,2021-06-30 19:37:37,64.434,76.5026,58.71,45,100,9.53,overcast clouds,0.0,0.0
87,Ostrovnoy,RU,2021-06-30 19:37:38,68.0531,39.5131,44.22,93,13,12.12,few clouds,0.0,0.0
88,Tamluk,IN,2021-06-30 19:37:38,22.3,87.9167,80.58,86,100,15.21,heavy intensity rain,0.0,0.0
89,Sikeston,US,2021-06-30 19:37:38,36.8767,-89.5879,91.44,53,87,5.12,moderate rain,0.0,0.0
90,Benghazi,LY,2021-06-30 19:37:39,32.1167,20.0667,83.84,57,0,11.01,clear sky,0.0,0.0
91,Vanavara,RU,2021-06-30 19:37:39,60.34,102.2797,56.28,80,100,4.12,overcast clouds,0.0,0.0
92,Sistranda,NO,2021-06-30 19:37:39,63.7256,8.834,58.96,82,57,18.57,broken clouds,0.0,0.0
93,Davila,PH,2021-06-30 19:37:40,18.4726,120.5763,81.73,83,100,9.35,overcast clouds,0.0,0.0
94,Mar Del Plata,AR,2021-06-30 19:37:19,-38.0023,-57.5575,50.13,54,0,10.0,clear sky,0.0,0.0
95,Itaqui,BR,2021-06-30 19:37:40,-29.1253,-56.5531,52.99,69,0,6.15,clear sky,0.0,0.0
96,New Norfolk,AU,2021-06-30 19:37:41,-42.7826,147.0587,46.9,82,8,2.57,clear sky,0.0,0.0
97,Kodiak,US,2021-06-30 19:33:16,57.79,-152.4072,53.11,76,90,4.61,overcast clouds,0.0,0.0
98,Mahibadhoo,MV,2021-06-30 19:37:41,3.7833,72.9667,82.72,76,20,12.06,few clouds,0.0,0.0
99,Isangel,VU,2021-06-30 19:37:41,-19.55,169.2667,69.76,62,42,16.78,scattered clouds,0.0,0.0
100,Etchoropo,MX,2021-06-30 19:37:42,26.7667,-109.6667,80.49,74,100,10.02,overcast clouds,0.0,0.0
101,Tombouctou,ML,2021-06-30 19:37:42,20.0,-3.0,98.85,20,1,8.88,clear sky,0.0,0.0
102,San Patricio,US,2021-06-30 19:37:42,28.017,-97.5169,89.69,55,100,11.63,overcast clouds,0.0,0.0
103,Bethel,US,2021-06-30 19:37:43,41.3712,-73.414,99.81,52,1,9.22,clear sky,0.0,0.0
104,Karratha,AU,2021-06-30 19:37:43,-20.7377,116.8463,70.0,51,3,10.76,clear sky,0.0,0.0
105,Kahului,US,2021-06-30 19:37:43,20.8947,-156.47,84.94,70,40,12.66,scattered clouds,0.0,0.0
106,Clyde River,CA,2021-06-30 19:37:44,70.4692,-68.5914,53.83,76,75,6.91,broken clouds,0.0,0.0
107,Redmond,US,2021-06-30 19:32:51,47.674,-122.1215,82.98,66,15,6.13,few clouds,0.0,0.0
108,Dandong,CN,2021-06-30 19:37:44,40.1292,124.3947,66.58,98,96,4.43,overcast clouds,0.0,0.0
109,Saint George,US,2021-06-30 19:37:44,37.1041,-113.5841,91.8,28,1,7.0,clear sky,0.0,0.0
110,Ulaangom,MN,2021-06-30 19:37:45,49.9811,92.0667,59.58,50,9,2.64,clear sky,0.0,0.0
111,Namibe,AO,2021-06-30 19:37:45,-15.1961,12.1522,66.49,76,1,10.13,clear sky,0.0,0.0
112,Severo-Kurilsk,RU,2021-06-30 19:37:45,50.6789,156.125,46.53,94,86,11.95,overcast clouds,0.0,0.0
