City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Isangel,VU,69.76,scattered clouds,-19.55,169.2667,Tanna Lodge
100,Etchoropo,MX,80.49,overcast clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
102,San Patricio,US,89.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
104,Karratha,AU,70.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
105,Kahului,US,84.94,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
106,Clyde River,CA,53.83,broken clouds,70.4692,-68.5914,Qamaq Hotel
107,Redmond,US,82.98,few clouds,47.674,-122.1215,Seattle Marriott Redmond
108,Dandong,CN,66.58,overcast clouds,40.1292,124.3947,Yiranju Farmstay
110,Ulaangom,MN,59.58,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
111,Namibe,AO,66.49,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
116,Oyama,JP,70.83,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
118,Iskateley,RU,52.36,overcast clouds,67.6803,53.1512,Hostel Agat
120,Taltal,CL,63.14,broken clouds,-25.4,-70.4833,Residencial Karime
121,Prince Rupert,CA,60.49,scattered clouds,54.3161,-130.3201,Crest Hotel
122,San Quintin,MX,74.12,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
124,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
125,Kavieng,PG,80.22,light rain,-2.5744,150.7967,Nusa Island Retreat
126,Krasnoselkup,RU,52.5,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
127,Kuah,MY,78.8,few clouds,6.3265,99.8432,Azio Hotel
128,Mogadishu,SO,77.27,scattered clouds,2.0371,45.3438,Hotel Juba
129,Adolfo Ruiz Cortines,MX,88.03,overcast clouds,25.75,-108.75,Empaque San Carlos
130,Nara,JP,72.97,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
132,Casino,AU,64.15,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
133,Sabang,ID,81.7,overcast clouds,5.8933,95.3214,Hotel Citra
134,Sitka,US,58.89,broken clouds,57.0531,-135.33,Westmark Sitka
135,Carman,CA,86.65,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
137,Port Keats,AU,69.84,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
138,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
139,Bredasdorp,ZA,60.12,light rain,-34.5322,20.0403,Bredasdorp Country Manor
140,Kidal,ML,89.92,broken clouds,18.4411,1.4078,
141,Troitskoye,RU,60.3,overcast clouds,52.9821,84.6757,
142,Mossendjo,CG,70.56,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
143,Vestmannaeyjar,IS,50.99,drizzle,63.4427,-20.2734,Glamping & Camping
144,Nemuro,JP,52.65,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
145,Kovur,IN,86.61,overcast clouds,14.4833,79.9833,Hotel Yesh Park
